schema,nome_tabela,qtd_colunas,nome_colunas,dominio,texto
b_detran_detrannet,gen_enderecos,18,"{usuarioinclusao,titularidade,tipologradouro,telefone,orig,numero,logradouro,idsessao,idprocesso,idpessoa,idendereco,idcidadepaisendereco,idcep,dtca,datainclusao,complemento,cep,bairro}",logistica,b detran detrannet gen enderecos 18 usuarioinclusao titularidade tipologradouro telefone orig numero logradouro idsessao idprocesso idpessoa idendereco idcidadepaisendereco idcep dtca datainclusao complemento cep bairro
b_detran_detrannet,rev_combustivel,12,"{usuarioinclusao,orig,ipvaoperador,ipvafaixa,ipvadata,idtipoveiculo,idsessao,idmarca,idespecie,dtca,descricao,datainclusao}",logistica,b detran detrannet rev combustivel 12 usuarioinclusao orig ipvaoperador ipvafaixa ipvadata idtipoveiculo idsessao idmarca idespecie dtca descricao datainclusao
b_detran_detrannet,rev_cor,7,"{usuarioinclusao,orig,idsessao,idcor,dtca,descricao,datainclusao}",logistica,b detran detrannet rev cor 7 usuarioinclusao orig idsessao idcor dtca descricao datainclusao
b_detran_detrannet,rev_marca,12,"{usuarioinclusao,orig,ipvaoperador,ipvafaixa,ipvadata,idtipoveiculo,idsessao,idmarca,idespecie,dtca,descricao,datainclusao}",logistica,b detran detrannet rev marca 12 usuarioinclusao orig ipvaoperador ipvafaixa ipvadata idtipoveiculo idsessao idmarca idespecie dtca descricao datainclusao
b_detran_detrannet,rev_tipoveiculo,12,"{usuarioinclusao,placapequena,orig,idtipoveiculo,idsessao,dtca,descricaoabreviada,descricao,datainclusao,codigoservicotaxaplaca,codigoservicoreboque,codigoservicoapreensao}",logistica,b detran detrannet rev tipoveiculo 12 usuarioinclusao placapequena orig idtipoveiculo idsessao dtca descricaoabreviada descricao datainclusao codigoservicotaxaplaca codigoservicoreboque codigoservicoapreensao
b_detran_detrannet,rev_veiculo,80,"{vialicenciamento,usuariolicenciamento,usuarioinclusao,usuarioemissaocrv,ufbaixa,ufanterior,tipocrv,tipoalienacao,terminacao,tarjetatraseiraextra,tarjetatraseira,tarjetadianteira,sequencia,rtb,renavam,remarcacao,quantidadeeixos,potencia,placatraseiraextra,placatraseira,placamercosul,placadianteira,placaanterior,placa,pendentelacre,pbt,orig,observacao,numerolacre,numerocrv,nomeproprietarioanterior,nomeproprietario,nomealienacao,nacional,motivobaixa,lotelicenciamento,justificativa,indicadorsituacao,idtipoveiculo,idtipocarroceria,idsessao,idprocessoinicial,idprocessoatualizacao,idpessoaproprietarioanterior,idpessoaproprietario,idpessoaalienacao,idpaisbaixa,idmarca,idespecie,identmotor,identeixotraseiro,identeixoauxiliar,identcarroceria,identcaixa,idendereco,idcor,idcombustivel,idcidadeufbaixa,idcidadepaisanterior,idcidadepais,idcategoria,hodometro,exerciciolicenciamento,dtca,datamedicaohodometro,datalicenciamento,datainclusao,dataemissaocrv,databaixa,dataaquisicao,dataalienacao,controlelicenciamento,controlecrv,cmt,cilindrada,chassi,capacidadepassageiros,capacidadecarga,anomodelo,anofabricacao}",logistica,b detran detrannet rev veiculo 80 vialicenciamento usuariolicenciamento usuarioinclusao usuarioemissaocrv ufbaixa ufanterior tipocrv tipoalienacao terminacao tarjetatraseiraextra tarjetatraseira tarjetadianteira sequencia rtb renavam remarcacao quantidadeeixos potencia placatraseiraextra placatraseira placamercosul placadianteira placaanterior placa pendentelacre pbt orig observacao numerolacre numerocrv nomeproprietarioanterior nomeproprietario nomealienacao nacional motivobaixa lotelicenciamento justificativa indicadorsituacao idtipoveiculo idtipocarroceria idsessao idprocessoinicial idprocessoatualizacao idpessoaproprietarioanterior idpessoaproprietario idpessoaalienacao idpaisbaixa idmarca idespecie identmotor identeixotraseiro identeixoauxiliar identcarroceria identcaixa idendereco idcor idcombustivel idcidadeufbaixa idcidadepaisanterior idcidadepais idcategoria hodometro exerciciolicenciamento dtca datamedicaohodometro datalicenciamento datainclusao dataemissaocrv databaixa dataaquisicao dataalienacao controlelicenciamento controlecrv cmt cilindrada chassi capacidadepassageiros capacidadecarga anomodelo anofabricacao
b_prime_abastecimentos,abastecimentos,49,"{valorlitro,valor,ultimaobservacaoabastecimento,tipofrota,tipo_servico,status,renavam,registrocondutor,quantidadelitros,prefixo,posto_razao,posto,placa,origem,numerocartao,nomeservico,nome_cidade,motorizacao,modelo,matricula_condutor,marca,longitude,latitude,kmhorarodado,kmhoraporlitro,kmatual,kmanterior,hora,estado,endereco,dt_dtca,data_atualizacao_km,data,código cliente,cpfcondutor,cor,condutor,combustivel,codabastecimento,cod_terminal,cod_cliente,cnpj,cnhcondutor,chassi,centrodecustoveiculo,centrodecustocondutor,capacidade_tanque,baseveiculo,ano_veiculo}",logistica,b prime abastecimentos abastecimentos 49 valorlitro valor ultimaobservacaoabastecimento tipofrota tipo servico status renavam registrocondutor quantidadelitros prefixo posto razao posto placa origem numerocartao nomeservico nome cidade motorizacao modelo matricula condutor marca longitude latitude kmhorarodado kmhoraporlitro kmatual kmanterior hora estado endereco dt dtca data atualizacao km data codigo cliente cpfcondutor cor condutor combustivel codabastecimento cod terminal cod cliente cnpj cnhcondutor chassi centrodecustoveiculo centrodecustocondutor capacidade tanque baseveiculo ano veiculo
b_prime_abastecimentos,abastecimentos_consolidado,39,"{valor_bruto,unidade_condutor,unidade,tipo_venda,tipo_veiculo,tipo_frota,temporario,subunidade_condutor,subunidade,simples_nacional,registro,qtde_litro,prefixo_veiculo,preco_unitario_liquido,preco_unitario,posto,placa,origem,opcao_pagamento,negociacao_posto,modelo_veiculo,matricula,marca,km_horimetro,km_horas_rodadas,km_hora_litro,intervalo,horario,estado,endereco_posto,dt_dtca,data,condutor,combustivel,cod_venda,cnpj_posto,cidade_veiculo,cidade,ano_veiculo}",logistica,b prime abastecimentos abastecimentos consolidado 39 valor bruto unidade condutor unidade tipo venda tipo veiculo tipo frota temporario subunidade condutor subunidade simples nacional registro qtde litro prefixo veiculo preco unitario liquido preco unitario posto placa origem opcao pagamento negociacao posto modelo veiculo matricula marca km horimetro km horas rodadas km hora litro intervalo horario estado endereco posto dt dtca data condutor combustivel cod venda cnpj posto cidade veiculo cidade ano veiculo
b_prime_abastecimentos,abastecimentos_v1,29,"{valor_abastecimento,unidade,sub_unidade,renavam,qtde_combustivel_abastecido,prefixo,placa,origem,numero_cartao,nome_posto,nome_condutor,motorizacao,modelo,matricula_condutor,marca,km_anterior,km,hora,endereco_posto,dt_dtca,data,cor,combustivel,cidade_veiculo,cidade_posto,chassi,centro_custo,capacidade_tanque,ano}",logistica,b prime abastecimentos abastecimentos v1 29 valor abastecimento unidade sub unidade renavam qtde combustivel abastecido prefixo placa origem numero cartao nome posto nome condutor motorizacao modelo matricula condutor marca km anterior km hora endereco posto dt dtca data cor combustivel cidade veiculo cidade posto chassi centro custo capacidade tanque ano
b_prime_abastecimentos,abastecimentos_v2,39,"{valor_bruto,unidade_condutor,unidade,tipo_venda,tipo_veiculo,tipo_frota,temporario,subunidade_condutor,subunidade,simples_nacional,registro,qtde_litro,prefixo_veiculo,preco_unitario_liquido,preco_unitario,posto,placa,origem,opcao_pagamento,negociacao_posto,modelo_veiculo,matricula,marca,km_horimetro,km_horas_rodadas,km_hora_litro,intervalo,horario,estado,endereco_posto,dt_dtca,data,condutor,combustivel,cod_venda,cnpj_posto,cidade_veiculo,cidade,ano_veiculo}",logistica,b prime abastecimentos abastecimentos v2 39 valor bruto unidade condutor unidade tipo venda tipo veiculo tipo frota temporario subunidade condutor subunidade simples nacional registro qtde litro prefixo veiculo preco unitario liquido preco unitario posto placa origem opcao pagamento negociacao posto modelo veiculo matricula marca km horimetro km horas rodadas km hora litro intervalo horario estado endereco posto dt dtca data condutor combustivel cod venda cnpj posto cidade veiculo cidade ano veiculo
